DataCite client name,has_schema_org,number_checked
PANGAEA,160,160
ZENODO - Research. Shared.,159,159
"LDEO - Lamont-Doherty Earth Observatory, Columbia University",159,159
4TU.Centre for Research Data,158,158
Digital Antiquity (TDAR),157,157
Michigan State University Libraries,157,157
ICPSR,156,160
UW-Biological Magnetic Resonance Bank,150,150
University of British Columbia,150,160
CERN OpenData Portal,140,140
Oak Ridge National Laboratory Distributed Active Archive Center,139,148
National Oceanic and Atmospheric Administration (NOAA) National Centers for Environmental Information (NCEI),132,132
Interdisciplinary Earth Data Alliance,128,129
Entrepreneur & Innovation Exchange,109,109
TOPMed,105,105
GigaDB,104,115
CSIRO,95,134
University of Bath,89,89
Alexander von Humboldt Institut für Internet und Gesellschaft,86,86
Institut für die Geschichte der deutschen Juden,85,85
GTEx,77,77
Natural Environment Research Council,75,116
Canada Human-Computer Communications Society,72,72
National Oceanic and Atmospheric Administration (NOAA) NCEI and NCL,70,105
BStift - Bertelsmann Stiftung,66,66
Curtin University,62,73
Mendeley,62,62
University of New Mexico Libraries,57,57
ESO - European Organisation for Astronomical Research in the Southern Hemisphere,56,58
World Data Center for Climate,56,135
University of Illinois Libraries,52,65
Oxford University Library Service Databank,50,153
International Crops Research Institute for the Semi-Arid Tropics (ICRISAT),41,41
UC Irvine Library,41,69
e-cienciaDatos,41,41
DataCite,38,52
Helmholtz-Zentrum Dresden-Rossendorf,36,36
IPK Gatersleben,35,35
UCSF Clinical & Translational Science Institute (CTSI),31,32
DRYAD,31,124
UNAVCO,28,143
The University of Melbourne,27,74
University of Sydney Library,27,89
"University of California, Davis, University Library",24,24
"Institut für Erziehungswissenschaft,WWU Münster",21,21
Cranfield University,21,114
Observatoire Terre Environnement de Lorraine,21,21
Universiteit van Amsterdam,20,60
Loughborough University,19,123
Janelia,19,52
University of Wisconsin-Madison,18,36
University of Sheffield,17,106
La Trobe University,17,108
University of Salford,15,101
University of Surrey,15,89
NIH Data Commons Pilot Phase Consortium,15,23
UC Berkeley,15,116
Marine and Coastal Research Institute of Columbia,15,101
University of Pittsburgh,14,153
COURAGE projekt (MTA BTK),13,13
Simon Worthington - Open Science Lab,13,13
Institut National de Recherche Agronomique,13,39
UCSC,13,17
University of Washington Libraries,13,28
figshare Academic Research System,12,154
U.S. Environmental Protection Agency,11,144
UC Riverside,11,11
Agriculture Victoria,11,11
Purdue University,10,154
Neon Neue Energieökonomik GmbH,9,9
UC Merced,9,9
The Open University,9,40
The Royal Central School of Speech and Drama,8,70
Stockholm University,8,92
EAWAG Research Data Management,8,10
Brunel University London,7,42
University of Sussex,6,37
Centre de coopération internationale en recherche agronomique pour le développement,6,106
University of Auckland Data Publishing and Discovery Service,6,133
Institut Français de Recherche pour l'Exploitation de la Mer,6,11
MyGeoHub,6,8
Science and Technology Facilities Council,6,154
Iowa State University,5,21
University College of Southeast Norway,5,35
G3 - Genetics Society of America (GSA),5,126
Publications Office of the European Union,5,7
University of New South Wales,5,5
Leibniz-Institut für Wirtschaftsforschung Halle (IWH),4,4
Health Research Alliance,4,55
figshare ASHA Publications,4,86
Middlesex University,4,61
Landcare Research New Zealand Ltd,4,162
UCLA,4,4
"National Cancer Informatics Program Hub, NIH",4,9
National Snow and Ice Data Center,4,91
University of Cape Town (UCT),3,101
omicX,3,3
Università degli Studi di Sassari,3,45
University of Western Cape,3,39
Hogeschool van Amsterdam,3,18
GENETICS - Genetics Society of America (GSA),3,110
Lawrence Berkeley National Laboratory,2,11
National Center for Atmospheric Research (NCAR),2,153
"City, University of London",2,28
Monash University,2,146
University of Leicester,2,36
Health & Co,2,2
ROHub,2,20
figshare SAGE Publications,2,154
DataCite Staff Demo Client,2,2
Bath Spa University,2,19
Conferenza dei Rettori delle Università Italiane,1,1
International Journal for Re-Views in Empirical Economics,1,6
DESY - Deutsches Elektronen-Synchrotron,1,9
Harvard IQSS Dataverse,1,1
CRYOSTEM,1,1
"Royal Holloway, University of London",1,133
Research Data Alliance,1,25
Indiana University Bloomington Libraries,1,56
Ocean Wise Conservation Association,1,1
Brainlife Production,1,73
The University of Adelaide,1,136
Odum Institute for Research in Social Science,1,2
Open Commons Consortium Datacentre,1,1
Fondazione GEM,1,4
Murdoch Childrens Research Institute (MCRI),1,86
Romanisches Seminar,1,25
Univ Chicago Materials Data Facility,1,56
